Process_all,Process_name,Region,General_information,Unit,count_excel,Process_info_withoutregion,count_all_excel
"toner, black, powder//[GLO] toner production, black, powder","toner, black, powder",[GLO],"toner production, black, powder",kg,2,"toner, black, powder_toner production, black, powder",1
"toner, colour, powder//[GLO] toner production, colour, powder","toner, colour, powder",[GLO],"toner production, colour, powder",kg,2,"toner, colour, powder_toner production, colour, powder",1
tram track//[CH] tram track construction,tram track,[CH],tram track construction,m*year,3,tram track_tram track construction,2
"transistor, surface-mounted//[GLO] transistor production, surface-mounted","transistor, surface-mounted",[GLO],"transistor production, surface-mounted",kg,2,"transistor, surface-mounted_transistor production, surface-mounted",1
"transistor, wired, big size, through-hole mounting//[GLO] transistor production, wired, big size, through-hole mounting","transistor, wired, big size, through-hole mounting",[GLO],"transistor production, wired, big size, through-hole mounting",kg,2,"transistor, wired, big size, through-hole mounting_transistor production, wired, big size, through-hole mounting",1
"transistor, wired, small size, through-hole mounting//[GLO] transistor production, wired, small size, through-hole mounting","transistor, wired, small size, through-hole mounting",[GLO],"transistor production, wired, small size, through-hole mounting",kg,2,"transistor, wired, small size, through-hole mounting_transistor production, wired, small size, through-hole mounting",1
"transmission network, long-distance//[UCTE] transmission network construction, long-distance","transmission network, long-distance",[UCTE],"transmission network construction, long-distance",km,3,"transmission network, long-distance_transmission network construction, long-distance",2
"transport, freight train//[CH] transport, freight train, diesel, with particle filter","transport, freight train",[CH],"transport, freight train, diesel, with particle filter",tonnes*km,21,"transport, freight train_transport, freight train, diesel, with particle filter",2
"transport, freight train//[CN] transport, freight train, diesel","transport, freight train",[CN],"transport, freight train, diesel",tonnes*km,21,"transport, freight train_transport, freight train, diesel",4
"transport, freight train//[Europe without Switzerland] transport, freight train, diesel","transport, freight train",[Europe,"transport, freight train, diesel",tonnes*km,21,"transport, freight train_transport, freight train, diesel",4
"transport, freight train//[US] transport, freight train, diesel","transport, freight train",[US],"transport, freight train, diesel",tonnes*km,21,"transport, freight train_transport, freight train, diesel",4
"transport, freight train//[CH] transport, freight train, electricity","transport, freight train",[CH],"transport, freight train, electricity",tonnes*km,21,"transport, freight train_transport, freight train, electricity",4
"transport, freight train//[CN] transport, freight train, electricity","transport, freight train",[CN],"transport, freight train, electricity",tonnes*km,21,"transport, freight train_transport, freight train, electricity",4
"transport, freight train//[Europe without Switzerland] transport, freight train, electricity","transport, freight train",[Europe,"transport, freight train, electricity",tonnes*km,21,"transport, freight train_transport, freight train, electricity",4
"transport, freight train//[AT] transport, freight train","transport, freight train",[AT],"transport, freight train",tonnes*km,21,"transport, freight train_transport, freight train",5
"transport, freight train//[BE] transport, freight train","transport, freight train",[BE],"transport, freight train",tonnes*km,21,"transport, freight train_transport, freight train",5
"transport, freight train//[DE] transport, freight train","transport, freight train",[DE],"transport, freight train",tonnes*km,21,"transport, freight train_transport, freight train",5
"transport, freight train//[FR] transport, freight train","transport, freight train",[FR],"transport, freight train",tonnes*km,21,"transport, freight train_transport, freight train",5
"transport, freight train//[IT] transport, freight train","transport, freight train",[IT],"transport, freight train",tonnes*km,21,"transport, freight train_transport, freight train",5
"transport, freight, aircraft//[RER] transport, freight, aircraft, intercontinental","transport, freight, aircraft",[RER],"transport, freight, aircraft, intercontinental",tonnes*km,5,"transport, freight, aircraft_transport, freight, aircraft, intercontinental",2
"transport, freight, aircraft//[RER] transport, freight, aircraft, intracontinental","transport, freight, aircraft",[RER],"transport, freight, aircraft, intracontinental",tonnes*km,5,"transport, freight, aircraft_transport, freight, aircraft, intracontinental",2
"transport, freight, inland waterways, barge tanker//[RER] transport, freight, inland waterways, barge tanker","transport, freight, inland waterways, barge tanker",[RER],"transport, freight, inland waterways, barge tanker",tonnes*km,3,"transport, freight, inland waterways, barge tanker_transport, freight, inland waterways, barge tanker",2
"transport, freight, inland waterways, barge//[RER] transport, freight, inland waterways, barge","transport, freight, inland waterways, barge",[RER],"transport, freight, inland waterways, barge",tonnes*km,3,"transport, freight, inland waterways, barge_transport, freight, inland waterways, barge",2
"transport, freight, light commercial vehicle//[CH] transport, freight, light commercial vehicle","transport, freight, light commercial vehicle",[CH],"transport, freight, light commercial vehicle",tonnes*km,4,"transport, freight, light commercial vehicle_transport, freight, light commercial vehicle",3
"transport, freight, light commercial vehicle//[Europe without Switzerland] transport, freight, light commercial vehicle","transport, freight, light commercial vehicle",[Europe,"transport, freight, light commercial vehicle",tonnes*km,4,"transport, freight, light commercial vehicle_transport, freight, light commercial vehicle",3
"transport, freight, lorry >32 metric ton, EURO3//[RER] transport, freight, lorry >32 metric ton, EURO3","transport, freight, lorry >32 metric ton, EURO3",[RER],"transport, freight, lorry >32 metric ton, EURO3",tonnes*km,3,"transport, freight, lorry >32 metric ton, EURO3_transport, freight, lorry >32 metric ton, EURO3",2
"transport, freight, lorry >32 metric ton, EURO4//[RER] transport, freight, lorry >32 metric ton, EURO4","transport, freight, lorry >32 metric ton, EURO4",[RER],"transport, freight, lorry >32 metric ton, EURO4",tonnes*km,3,"transport, freight, lorry >32 metric ton, EURO4_transport, freight, lorry >32 metric ton, EURO4",2
"transport, freight, lorry >32 metric ton, EURO5//[RER] transport, freight, lorry >32 metric ton, EURO5","transport, freight, lorry >32 metric ton, EURO5",[RER],"transport, freight, lorry >32 metric ton, EURO5",tonnes*km,3,"transport, freight, lorry >32 metric ton, EURO5_transport, freight, lorry >32 metric ton, EURO5",2
"transport, freight, loryy >32 metric ton, EURO6//[RER] transport, freight, lorry >32 metric ton, EURO6","transport, freight, loryy >32 metric ton, EURO6",[RER],"transport, freight, lorry >32 metric ton, EURO6",tonnes*km,3,"transport, freight, loryy >32 metric ton, EURO6_transport, freight, lorry >32 metric ton, EURO6",2
"transport, freight, lorry 16-32 metric ton, EURO3//[RER] transport, freight, lorry 16-32 metric ton, EURO3","transport, freight, lorry 16-32 metric ton, EURO3",[RER],"transport, freight, lorry 16-32 metric ton, EURO3",tonnes*km,3,"transport, freight, lorry 16-32 metric ton, EURO3_transport, freight, lorry 16-32 metric ton, EURO3",2
"transport, freight, lorry 16-32 metric ton, EURO4//[RER] transport, freight, lorry 16-32 metric ton, EURO4","transport, freight, lorry 16-32 metric ton, EURO4",[RER],"transport, freight, lorry 16-32 metric ton, EURO4",tonnes*km,3,"transport, freight, lorry 16-32 metric ton, EURO4_transport, freight, lorry 16-32 metric ton, EURO4",2
"transport, freight, lorry 16-32 metric ton, EURO5//[RER] transport, freight, lorry 16-32 metric ton, EURO5","transport, freight, lorry 16-32 metric ton, EURO5",[RER],"transport, freight, lorry 16-32 metric ton, EURO5",tonnes*km,3,"transport, freight, lorry 16-32 metric ton, EURO5_transport, freight, lorry 16-32 metric ton, EURO5",2
"transport, freight, lorry 16-32 metric ton, EURO6//[RER] transport, freight, lorry 16-32 metric ton, EURO6","transport, freight, lorry 16-32 metric ton, EURO6",[RER],"transport, freight, lorry 16-32 metric ton, EURO6",tonnes*km,3,"transport, freight, lorry 16-32 metric ton, EURO6_transport, freight, lorry 16-32 metric ton, EURO6",2
"transport, freight, lorry 28 metric ton, vegetable oil methyl ester 100%//[CH] transport, freight, lorry 28 metric ton, vegetable oil methyl ester 100%","transport, freight, lorry 28 metric ton, vegetable oil methyl ester 100%",[CH],"transport, freight, lorry 28 metric ton, vegetable oil methyl ester 100%",tonnes*km,3,"transport, freight, lorry 28 metric ton, vegetable oil methyl ester 100%_transport, freight, lorry 28 metric ton, vegetable oil methyl ester 100%",2
"transport, freight, lorry 3.5-7.5 metric ton, EURO3//[RER] transport, freight, lorry 3.5-7.5 metric ton, EURO3","transport, freight, lorry 3.5-7.5 metric ton, EURO3",[RER],"transport, freight, lorry 3.5-7.5 metric ton, EURO3",tonnes*km,3,"transport, freight, lorry 3.5-7.5 metric ton, EURO3_transport, freight, lorry 3.5-7.5 metric ton, EURO3",2
"transport, freight, lorry 3.5-7.5 metric ton, EURO4//[RER] transport, freight, lorry 3.5-7.5 metric ton, EURO4","transport, freight, lorry 3.5-7.5 metric ton, EURO4",[RER],"transport, freight, lorry 3.5-7.5 metric ton, EURO4",tonnes*km,3,"transport, freight, lorry 3.5-7.5 metric ton, EURO4_transport, freight, lorry 3.5-7.5 metric ton, EURO4",2
"transport, freight, lorry 3.5-7.5 metric ton, EURO5//[RER] transport, freight, lorry 3.5-7.5 metric ton, EURO5","transport, freight, lorry 3.5-7.5 metric ton, EURO5",[RER],"transport, freight, lorry 3.5-7.5 metric ton, EURO5",tonnes*km,3,"transport, freight, lorry 3.5-7.5 metric ton, EURO5_transport, freight, lorry 3.5-7.5 metric ton, EURO5",2
"transport, freight, lorry 3.5-7.5 metric ton, EURO6//[RER] transport, freight, lorry 3.5-7.5 metric ton, EURO6","transport, freight, lorry 3.5-7.5 metric ton, EURO6",[RER],"transport, freight, lorry 3.5-7.5 metric ton, EURO6",tonnes*km,3,"transport, freight, lorry 3.5-7.5 metric ton, EURO6_transport, freight, lorry 3.5-7.5 metric ton, EURO6",2
"transport, freight, lorry 7.5-16 metric ton, EURO3//[RER] transport, freight, lorry 7.5-16 metric ton, EURO3","transport, freight, lorry 7.5-16 metric ton, EURO3",[RER],"transport, freight, lorry 7.5-16 metric ton, EURO3",tonnes*km,3,"transport, freight, lorry 7.5-16 metric ton, EURO3_transport, freight, lorry 7.5-16 metric ton, EURO3",2
"transport, freight, lorry 7.5-16 metric ton, EURO4//[RER] transport, freight, lorry 7.5-16 metric ton, EURO4","transport, freight, lorry 7.5-16 metric ton, EURO4",[RER],"transport, freight, lorry 7.5-16 metric ton, EURO4",tonnes*km,3,"transport, freight, lorry 7.5-16 metric ton, EURO4_transport, freight, lorry 7.5-16 metric ton, EURO4",2
"transport, freight, lorry 7.5-16 metric ton, EURO5//[RER] transport, freight, lorry 7.5-16 metric ton, EURO5","transport, freight, lorry 7.5-16 metric ton, EURO5",[RER],"transport, freight, lorry 7.5-16 metric ton, EURO5",tonnes*km,3,"transport, freight, lorry 7.5-16 metric ton, EURO5_transport, freight, lorry 7.5-16 metric ton, EURO5",2
"transport, freight, lorry 7.5-16 metric ton, EURO6//[RER] transport, freight, lorry 7.5-16 metric ton, EURO6","transport, freight, lorry 7.5-16 metric ton, EURO6",[RER],"transport, freight, lorry 7.5-16 metric ton, EURO6",tonnes*km,3,"transport, freight, lorry 7.5-16 metric ton, EURO6_transport, freight, lorry 7.5-16 metric ton, EURO6",2
"transport, freight, sea, liquefied natural gas//[GLO] transport, freight, sea, liquefied natural gas","transport, freight, sea, liquefied natural gas",[GLO],"transport, freight, sea, liquefied natural gas",tonnes*km,2,"transport, freight, sea, liquefied natural gas_transport, freight, sea, liquefied natural gas",1
"transport, freight, sea, transoceanic ship//[GLO] transport, freight, sea, transoceanic ship","transport, freight, sea, transoceanic ship",[GLO],"transport, freight, sea, transoceanic ship",tonnes*km,2,"transport, freight, sea, transoceanic ship_transport, freight, sea, transoceanic ship",1
"transport, freight, sea, transoceanic tanker//[GLO] transport, freight, sea, transoceanic tanker","transport, freight, sea, transoceanic tanker",[GLO],"transport, freight, sea, transoceanic tanker",tonnes*km,2,"transport, freight, sea, transoceanic tanker_transport, freight, sea, transoceanic tanker",1
"transport, helicopter, LTO cycle//[GLO] transport, helicopter, LTO cycle","transport, helicopter, LTO cycle",[GLO],"transport, helicopter, LTO cycle",unit,2,"transport, helicopter, LTO cycle_transport, helicopter, LTO cycle",1
"transport, helicopter//[GLO] transport, helicopter","transport, helicopter",[GLO],"transport, helicopter",hour,2,"transport, helicopter_transport, helicopter",1
"transport, passenger car with internal combustion engine//[RER] transport, passenger car with internal combustion engine","transport, passenger car with internal combustion engine",[RER],"transport, passenger car with internal combustion engine",km,4,"transport, passenger car with internal combustion engine_transport, passenger car with internal combustion engine",2
"transport, passenger car, electric//[GLO] transport, passenger car, electric","transport, passenger car, electric",[GLO],"transport, passenger car, electric",km,2,"transport, passenger car, electric_transport, passenger car, electric",1
"transport, passenger car, EURO 3//[RER] transport, passenger car, EURO 3","transport, passenger car, EURO 3",[RER],"transport, passenger car, EURO 3",km,4,"transport, passenger car, EURO 3_transport, passenger car, EURO 3",2
"transport, passenger car, EURO 4//[RER] transport, passenger car, EURO 4","transport, passenger car, EURO 4",[RER],"transport, passenger car, EURO 4",km,4,"transport, passenger car, EURO 4_transport, passenger car, EURO 4",2
"transport, passenger car, EURO 5//[RER] transport, passenger car, EURO 5","transport, passenger car, EURO 5",[RER],"transport, passenger car, EURO 5",km,4,"transport, passenger car, EURO 5_transport, passenger car, EURO 5",2
"transport, passenger car, large size, diesel, EURO 3//[RER] transport, passenger car, large size, diesel, EURO 3","transport, passenger car, large size, diesel, EURO 3",[RER],"transport, passenger car, large size, diesel, EURO 3",km,3,"transport, passenger car, large size, diesel, EURO 3_transport, passenger car, large size, diesel, EURO 3",2
"transport, passenger car, large size, diesel, EURO 4//[RER] transport, passenger car, large size, diesel, EURO 4","transport, passenger car, large size, diesel, EURO 4",[RER],"transport, passenger car, large size, diesel, EURO 4",km,3,"transport, passenger car, large size, diesel, EURO 4_transport, passenger car, large size, diesel, EURO 4",2
"transport, passenger car, large size, diesel, EURO 5//[RER] transport, passenger car, large size, diesel, EURO 5","transport, passenger car, large size, diesel, EURO 5",[RER],"transport, passenger car, large size, diesel, EURO 5",km,3,"transport, passenger car, large size, diesel, EURO 5_transport, passenger car, large size, diesel, EURO 5",2
"transport, passenger car, large size, natural gas, EURO 3//[RER] transport, passenger car, large size, natural gas, EURO 3","transport, passenger car, large size, natural gas, EURO 3",[RER],"transport, passenger car, large size, natural gas, EURO 3",km,3,"transport, passenger car, large size, natural gas, EURO 3_transport, passenger car, large size, natural gas, EURO 3",2
"transport, passenger car, large size, natural gas, EURO 4//[RER] transport, passenger car, large size, natural gas, EURO 4","transport, passenger car, large size, natural gas, EURO 4",[RER],"transport, passenger car, large size, natural gas, EURO 4",km,3,"transport, passenger car, large size, natural gas, EURO 4_transport, passenger car, large size, natural gas, EURO 4",2
"transport, passenger car, large size, natural gas, EURO 5//[RER] transport, passenger car, large size, natural gas, EURO 5","transport, passenger car, large size, natural gas, EURO 5",[RER],"transport, passenger car, large size, natural gas, EURO 5",km,3,"transport, passenger car, large size, natural gas, EURO 5_transport, passenger car, large size, natural gas, EURO 5",2
"transport, passenger car, large size, petrol, EURO 3//[RER] transport, passenger car, large size, petrol, EURO 3","transport, passenger car, large size, petrol, EURO 3",[RER],"transport, passenger car, large size, petrol, EURO 3",km,3,"transport, passenger car, large size, petrol, EURO 3_transport, passenger car, large size, petrol, EURO 3",2
"transport, passenger car, large size, petrol, EURO 4//[RER] transport, passenger car, large size, petrol, EURO 4","transport, passenger car, large size, petrol, EURO 4",[RER],"transport, passenger car, large size, petrol, EURO 4",km,3,"transport, passenger car, large size, petrol, EURO 4_transport, passenger car, large size, petrol, EURO 4",2
"transport, passenger car, large size, petrol, EURO 5//[RER] transport, passenger car, large size, petrol, EURO 5","transport, passenger car, large size, petrol, EURO 5",[RER],"transport, passenger car, large size, petrol, EURO 5",km,3,"transport, passenger car, large size, petrol, EURO 5_transport, passenger car, large size, petrol, EURO 5",2
"transport, passenger car, medium size, diesel, EURO 3//[RER] transport, passenger car, medium size, diesel, EURO 3","transport, passenger car, medium size, diesel, EURO 3",[RER],"transport, passenger car, medium size, diesel, EURO 3",km,3,"transport, passenger car, medium size, diesel, EURO 3_transport, passenger car, medium size, diesel, EURO 3",2
"transport, passenger car, medium size, diesel, EURO 4//[RER] transport, passenger car, medium size, diesel, EURO 4","transport, passenger car, medium size, diesel, EURO 4",[RER],"transport, passenger car, medium size, diesel, EURO 4",km,3,"transport, passenger car, medium size, diesel, EURO 4_transport, passenger car, medium size, diesel, EURO 4",2
"transport, passenger car, medium size, diesel, EURO 5//[RER] transport, passenger car, medium size, diesel, EURO 5","transport, passenger car, medium size, diesel, EURO 5",[RER],"transport, passenger car, medium size, diesel, EURO 5",km,3,"transport, passenger car, medium size, diesel, EURO 5_transport, passenger car, medium size, diesel, EURO 5",2
"transport, passenger car, medium size, natural gas, EURO 3//[RER] transport, passenger car, medium size, natural gas, EURO 3","transport, passenger car, medium size, natural gas, EURO 3",[RER],"transport, passenger car, medium size, natural gas, EURO 3",km,3,"transport, passenger car, medium size, natural gas, EURO 3_transport, passenger car, medium size, natural gas, EURO 3",2
"transport, passenger car, medium size, natural gas, EURO 4//[RER] transport, passenger car, medium size, natural gas, EURO 4","transport, passenger car, medium size, natural gas, EURO 4",[RER],"transport, passenger car, medium size, natural gas, EURO 4",km,3,"transport, passenger car, medium size, natural gas, EURO 4_transport, passenger car, medium size, natural gas, EURO 4",2
"transport, passenger car, medium size, natural gas, EURO 5//[RER] transport, passenger car, medium size, natural gas, EURO 5","transport, passenger car, medium size, natural gas, EURO 5",[RER],"transport, passenger car, medium size, natural gas, EURO 5",km,3,"transport, passenger car, medium size, natural gas, EURO 5_transport, passenger car, medium size, natural gas, EURO 5",2
"transport, passenger car, medium size, petrol, EURO 3//[RER] transport, passenger car, medium size, petrol, EURO 3","transport, passenger car, medium size, petrol, EURO 3",[RER],"transport, passenger car, medium size, petrol, EURO 3",km,3,"transport, passenger car, medium size, petrol, EURO 3_transport, passenger car, medium size, petrol, EURO 3",2
"transport, passenger car, medium size, petrol, EURO 4//[RER] transport, passenger car, medium size, petrol, EURO 4","transport, passenger car, medium size, petrol, EURO 4",[RER],"transport, passenger car, medium size, petrol, EURO 4",km,3,"transport, passenger car, medium size, petrol, EURO 4_transport, passenger car, medium size, petrol, EURO 4",2
"transport, passenger car, medium size, petrol, EURO 5//[RER] transport, passenger car, medium size, petrol, EURO 5","transport, passenger car, medium size, petrol, EURO 5",[RER],"transport, passenger car, medium size, petrol, EURO 5",km,3,"transport, passenger car, medium size, petrol, EURO 5_transport, passenger car, medium size, petrol, EURO 5",2
"transport, passenger car, small size, diesel, EURO 3//[RER] transport, passenger car, small size, diesel, EURO 3","transport, passenger car, small size, diesel, EURO 3",[RER],"transport, passenger car, small size, diesel, EURO 3",km,3,"transport, passenger car, small size, diesel, EURO 3_transport, passenger car, small size, diesel, EURO 3",2
"transport, passenger car, small size, diesel, EURO 4//[RER] transport, passenger car, small size, diesel, EURO 4","transport, passenger car, small size, diesel, EURO 4",[RER],"transport, passenger car, small size, diesel, EURO 4",km,3,"transport, passenger car, small size, diesel, EURO 4_transport, passenger car, small size, diesel, EURO 4",2
"transport, passenger car, small size, diesel, EURO 5//[RER] transport, passenger car, small size, diesel, EURO 5","transport, passenger car, small size, diesel, EURO 5",[RER],"transport, passenger car, small size, diesel, EURO 5",km,3,"transport, passenger car, small size, diesel, EURO 5_transport, passenger car, small size, diesel, EURO 5",2
"transport, passenger car, small size, natural gas, EURO 3//[RER] transport, passenger car, small size, natural gas, EURO 3","transport, passenger car, small size, natural gas, EURO 3",[RER],"transport, passenger car, small size, natural gas, EURO 3",km,3,"transport, passenger car, small size, natural gas, EURO 3_transport, passenger car, small size, natural gas, EURO 3",2
"transport, passenger car, small size, natural gas, EURO 4//[RER] transport, passenger car, small size, natural gas, EURO 4","transport, passenger car, small size, natural gas, EURO 4",[RER],"transport, passenger car, small size, natural gas, EURO 4",km,3,"transport, passenger car, small size, natural gas, EURO 4_transport, passenger car, small size, natural gas, EURO 4",2
"transport, passenger car, small size, natural gas, EURO 5//[RER] transport, passenger car, small size, natural gas, EURO 5","transport, passenger car, small size, natural gas, EURO 5",[RER],"transport, passenger car, small size, natural gas, EURO 5",km,3,"transport, passenger car, small size, natural gas, EURO 5_transport, passenger car, small size, natural gas, EURO 5",2
"transport, passenger car, small size, petrol, EURO 3//[RER] transport, passenger car, small size, petrol, EURO 3","transport, passenger car, small size, petrol, EURO 3",[RER],"transport, passenger car, small size, petrol, EURO 3",km,3,"transport, passenger car, small size, petrol, EURO 3_transport, passenger car, small size, petrol, EURO 3",2
"transport, passenger car, small size, petrol, EURO 4//[RER] transport, passenger car, small size, petrol, EURO 4","transport, passenger car, small size, petrol, EURO 4",[RER],"transport, passenger car, small size, petrol, EURO 4",km,3,"transport, passenger car, small size, petrol, EURO 4_transport, passenger car, small size, petrol, EURO 4",2
"transport, passenger car, small size, petrol, EURO 5//[RER] transport, passenger car, small size, petrol, EURO 5","transport, passenger car, small size, petrol, EURO 5",[RER],"transport, passenger car, small size, petrol, EURO 5",km,3,"transport, passenger car, small size, petrol, EURO 5_transport, passenger car, small size, petrol, EURO 5",2
"transport, passenger car//[RER] transport, passenger car","transport, passenger car",[RER],"transport, passenger car",km,4,"transport, passenger car_transport, passenger car",2
"transport, passenger coach//[CH] transport, passenger coach","transport, passenger coach",[CH],"transport, passenger coach",person*km,3,"transport, passenger coach_transport, passenger coach",2
"transport, passenger train//[DE] transport, passenger train, high-speed","transport, passenger train",[DE],"transport, passenger train, high-speed",person*km,14,"transport, passenger train_transport, passenger train, high-speed",4
"transport, passenger train//[FR] transport, passenger train, high-speed","transport, passenger train",[FR],"transport, passenger train, high-speed",person*km,14,"transport, passenger train_transport, passenger train, high-speed",4
"transport, passenger train//[IT] transport, passenger train, high-speed","transport, passenger train",[IT],"transport, passenger train, high-speed",person*km,14,"transport, passenger train_transport, passenger train, high-speed",4
"transport, passenger train//[CH] transport, passenger train, long-distance","transport, passenger train",[CH],"transport, passenger train, long-distance",person*km,14,"transport, passenger train_transport, passenger train, long-distance",1
"transport, passenger train//[CH] transport, passenger train, regional","transport, passenger train",[CH],"transport, passenger train, regional",person*km,14,"transport, passenger train_transport, passenger train, regional",1
"transport, passenger train//[CH] transport, passenger train, urban","transport, passenger train",[CH],"transport, passenger train, urban",person*km,14,"transport, passenger train_transport, passenger train, urban",1
"transport, passenger train//[AT] transport, passenger train","transport, passenger train",[AT],"transport, passenger train",person*km,14,"transport, passenger train_transport, passenger train",6
"transport, passenger train//[BE] transport, passenger train","transport, passenger train",[BE],"transport, passenger train",person*km,14,"transport, passenger train_transport, passenger train",6
"transport, passenger train//[DE] transport, passenger train","transport, passenger train",[DE],"transport, passenger train",person*km,14,"transport, passenger train_transport, passenger train",6
"transport, passenger train//[FR] transport, passenger train","transport, passenger train",[FR],"transport, passenger train",person*km,14,"transport, passenger train_transport, passenger train",6
"transport, passenger train//[IT] transport, passenger train","transport, passenger train",[IT],"transport, passenger train",person*km,14,"transport, passenger train_transport, passenger train",6
"transport, passenger, aircraft//[RER] transport, passenger, aircraft, intercontinental","transport, passenger, aircraft",[RER],"transport, passenger, aircraft, intercontinental",person*km,5,"transport, passenger, aircraft_transport, passenger, aircraft, intercontinental",2
"transport, passenger, aircraft//[RER] transport, passenger, aircraft, intracontinental","transport, passenger, aircraft",[RER],"transport, passenger, aircraft, intracontinental",person*km,5,"transport, passenger, aircraft_transport, passenger, aircraft, intracontinental",2
"transport, passenger, bicycle//[CH] transport, passenger, bicycle","transport, passenger, bicycle",[CH],"transport, passenger, bicycle",person*km,3,"transport, passenger, bicycle_transport, passenger, bicycle",2
"transport, passenger, electric scooter//[GLO] transport, passenger, electric scooter","transport, passenger, electric scooter",[GLO],"transport, passenger, electric scooter",km,2,"transport, passenger, electric scooter_transport, passenger, electric scooter",1
"transport, passenger, motor scooter//[CH] transport, passenger, motor scooter","transport, passenger, motor scooter",[CH],"transport, passenger, motor scooter",person*km,3,"transport, passenger, motor scooter_transport, passenger, motor scooter",2
"transport, pipeline, long distance, natural gas//[DE] transport, pipeline, long distance, natural gas","transport, pipeline, long distance, natural gas",[DE],"transport, pipeline, long distance, natural gas",tonnes*km,6,"transport, pipeline, long distance, natural gas_transport, pipeline, long distance, natural gas",5
"transport, pipeline, long distance, natural gas//[NL] transport, pipeline, long distance, natural gas","transport, pipeline, long distance, natural gas",[NL],"transport, pipeline, long distance, natural gas",tonnes*km,6,"transport, pipeline, long distance, natural gas_transport, pipeline, long distance, natural gas",5
"transport, pipeline, long distance, natural gas//[RER w/o DE+NL+NO] transport, pipeline, long distance, natural gas","transport, pipeline, long distance, natural gas",[RER,"transport, pipeline, long distance, natural gas",tonnes*km,6,"transport, pipeline, long distance, natural gas_transport, pipeline, long distance, natural gas",5
"transport, pipeline, long distance, natural gas//[RU] transport, pipeline, long distance, natural gas","transport, pipeline, long distance, natural gas",[RU],"transport, pipeline, long distance, natural gas",tonnes*km,6,"transport, pipeline, long distance, natural gas_transport, pipeline, long distance, natural gas",5
"transport, pipeline, offshore, long distance, natural gas//[DZ] transport, pipeline, offshore, long distance, natural gas","transport, pipeline, offshore, long distance, natural gas",[DZ],"transport, pipeline, offshore, long distance, natural gas",tonnes*km,3,"transport, pipeline, offshore, long distance, natural gas_transport, pipeline, offshore, long distance, natural gas",2
"transport, pipeline, offshore, long distance, natural gas//[NO] transport, pipeline, offshore, long distance, natural gas","transport, pipeline, offshore, long distance, natural gas",[NO],"transport, pipeline, offshore, long distance, natural gas",tonnes*km,3,"transport, pipeline, offshore, long distance, natural gas_transport, pipeline, offshore, long distance, natural gas",2
"transport, pipeline, offshore, petroleum//[GLO] transport, pipeline, offshore, petroleum","transport, pipeline, offshore, petroleum",[GLO],"transport, pipeline, offshore, petroleum",tonnes*km,2,"transport, pipeline, offshore, petroleum_transport, pipeline, offshore, petroleum",1
"transport, pipeline, onshore, long distance, natural gas//[DZ] transport, pipeline, onshore, long distance, natural gas","transport, pipeline, onshore, long distance, natural gas",[DZ],"transport, pipeline, onshore, long distance, natural gas",tonnes*km,3,"transport, pipeline, onshore, long distance, natural gas_transport, pipeline, onshore, long distance, natural gas",2
"transport, pipeline, onshore, long distance, natural gas//[NO] transport, pipeline, onshore, long distance, natural gas","transport, pipeline, onshore, long distance, natural gas",[NO],"transport, pipeline, onshore, long distance, natural gas",tonnes*km,3,"transport, pipeline, onshore, long distance, natural gas_transport, pipeline, onshore, long distance, natural gas",2
"transport, pipeline, onshore, petroleum//[RER] transport, pipeline, onshore, petroleum","transport, pipeline, onshore, petroleum",[RER],"transport, pipeline, onshore, petroleum",tonnes*km,3,"transport, pipeline, onshore, petroleum_transport, pipeline, onshore, petroleum",2
"transport, regular bus//[CH] transport, regular bus","transport, regular bus",[CH],"transport, regular bus",person*km,3,"transport, regular bus_transport, regular bus",2
"transport, tractor and trailer, agricultural//[CH] transport, tractor and trailer, agricultural","transport, tractor and trailer, agricultural",[CH],"transport, tractor and trailer, agricultural",tonnes*km,3,"transport, tractor and trailer, agricultural_transport, tractor and trailer, agricultural",2
"transport, tram//[CH] transport, tram","transport, tram",[CH],"transport, tram",person*km,3,"transport, tram_transport, tram",2
"transport, trolleybus//[CH] transport, trolleybus","transport, trolleybus",[CH],"transport, trolleybus",person*km,3,"transport, trolleybus_transport, trolleybus",2
"aluminium scrap, new//[RER] treatment of aluminium scrap, new, at refiner","aluminium scrap, new",[RER],"treatment of aluminium scrap, new, at refiner",kg,6,"aluminium scrap, new_treatment of aluminium scrap, new, at refiner",2
"aluminium scrap, new//[RER] treatment of aluminium scrap, new, at remelter","aluminium scrap, new",[RER],"treatment of aluminium scrap, new, at remelter",kg,6,"aluminium scrap, new_treatment of aluminium scrap, new, at remelter",2
"aluminium scrap, post-consumer//[RER] treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing","aluminium scrap, post-consumer",[RER],"treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing",kg,3,"aluminium scrap, post-consumer_treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing",2
"aluminium scrap, post-consumer, prepared for melting//[RER] treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner","aluminium scrap, post-consumer, prepared for melting",[RER],"treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner",kg,5,"aluminium scrap, post-consumer, prepared for melting_treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner",2
